algorithm,width,height,run,gen_time_ms,coverage,floor_tiles
Rooms,60,60,0,7.255,43.69,1573
Rooms,60,60,1,6.184,43.58,1569
Rooms,60,60,2,4.683,37.11,1336
Rooms,60,60,3,4.303,36.58,1317
Rooms,60,60,4,4.294,39.17,1410
Rooms,60,60,5,4.200,41.00,1476
Rooms,60,60,6,3.694,37.36,1345
Rooms,60,60,7,3.615,37.67,1356
Rooms,60,60,8,3.895,42.72,1538
Rooms,60,60,9,3.694,42.81,1541
Rooms,100,100,0,11.803,49.66,4966
Rooms,100,100,1,10.963,48.90,4890
Rooms,100,100,2,11.669,56.47,5647
Rooms,100,100,3,10.314,50.73,5073
Rooms,100,100,4,10.015,47.60,4760
Rooms,100,100,5,10.004,48.38,4838
Rooms,100,100,6,10.372,49.20,4920
Rooms,100,100,7,11.131,54.05,5405
Rooms,100,100,8,9.650,46.25,4625
Rooms,100,100,9,10.736,51.07,5107
Rooms,150,150,0,29.448,62.47,14056
Rooms,150,150,1,30.017,62.09,13970
Rooms,150,150,2,28.874,59.66,13423
Rooms,150,150,3,28.540,60.68,13652
Rooms,150,150,4,29.771,61.55,13848
Rooms,150,150,5,31.042,62.34,14026
Rooms,150,150,6,30.498,61.48,13832
Rooms,150,150,7,29.443,59.73,13440
Rooms,150,150,8,29.228,59.34,13351
Rooms,150,150,9,28.524,57.47,12930
Rooms,20,50,0,0.880,43.70,437
Rooms,20,50,1,0.689,33.90,339
Rooms,20,50,2,1.044,54.60,546
Rooms,20,50,3,0.727,36.20,362
Rooms,20,50,4,0.784,38.50,385
Rooms,20,50,5,1.014,52.20,522
Rooms,20,50,6,0.907,46.00,460
Rooms,20,50,7,1.107,56.10,561
Rooms,20,50,8,0.929,47.40,474
Rooms,20,50,9,0.793,39.60,396
Rooms,70,30,0,1.628,38.86,816
Rooms,70,30,1,1.810,41.95,881
Rooms,70,30,2,1.266,28.38,596
Rooms,70,30,3,1.401,30.43,639
Rooms,70,30,4,1.485,33.81,710
Rooms,70,30,5,1.512,34.43,723
Rooms,70,30,6,1.796,42.86,900
Rooms,70,30,7,1.369,30.00,630
Rooms,70,30,8,1.480,34.38,722
Rooms,70,30,9,1.121,23.95,503
BSP,60,60,0,2.859,48.44,1744
BSP,60,60,1,2.780,45.64,1643
BSP,60,60,2,2.744,45.08,1623
BSP,60,60,3,2.814,46.36,1669
BSP,60,60,4,2.868,47.11,1696
BSP,60,60,5,2.861,47.25,1701
BSP,60,60,6,2.879,47.14,1697
BSP,60,60,7,2.887,47.69,1717
BSP,60,60,8,2.903,47.33,1704
BSP,60,60,9,2.835,46.58,1677
BSP,100,100,0,9.683,64.52,6452
BSP,100,100,1,9.331,62.57,6257
BSP,100,100,2,9.684,64.14,6414
BSP,100,100,3,9.450,62.30,6230
BSP,100,100,4,9.775,64.21,6421
BSP,100,100,5,9.730,63.70,6370
BSP,100,100,6,9.516,62.35,6235
BSP,100,100,7,9.525,64.22,6422
BSP,100,100,8,9.659,65.28,6528
BSP,100,100,9,9.544,62.67,6267
BSP,150,150,0,23.946,73.48,16533
BSP,150,150,1,24.311,73.53,16545
BSP,150,150,2,24.370,73.08,16443
BSP,150,150,3,24.767,74.69,16805
BSP,150,150,4,24.500,74.05,16661
BSP,150,150,5,24.126,73.53,16544
BSP,150,150,6,23.791,73.68,16578
BSP,150,150,7,24.090,73.75,16594
BSP,150,150,8,24.247,74.07,16666
BSP,150,150,9,24.119,73.86,16619
BSP,20,50,0,0.664,28.50,285
BSP,20,50,1,0.650,29.20,292
BSP,20,50,2,0.659,29.40,294
BSP,20,50,3,0.660,29.10,291
BSP,20,50,4,0.648,28.10,281
BSP,20,50,5,0.614,25.20,252
BSP,20,50,6,0.630,26.40,264
BSP,20,50,7,0.647,26.90,269
BSP,20,50,8,0.643,27.10,271
BSP,20,50,9,0.670,28.30,283
BSP,70,30,0,1.465,36.48,766
BSP,70,30,1,1.476,35.71,750
BSP,70,30,2,1.443,32.71,687
BSP,70,30,3,1.430,32.48,682
BSP,70,30,4,1.445,34.67,728
BSP,70,30,5,1.480,34.76,730
BSP,70,30,6,1.442,34.29,720
BSP,70,30,7,1.427,33.81,710
BSP,70,30,8,1.504,36.71,771
BSP,70,30,9,1.487,36.00,756
Drunken,60,60,0,5.804,35.03,1261
Drunken,60,60,1,4.917,35.00,1260
Drunken,60,60,2,4.968,35.00,1260
Drunken,60,60,3,4.335,35.00,1260
