algorithm,size,cells,n,time_mean,time_std,time_min,time_max,coverage_mean,coverage_std,coverage_min,coverage_max
BSP,20x50,1000,50,0.8105800000000001,0.03074389934505336,0.736,0.872,45.87,2.9581606254080057,40.6,53.6
BSP,70x30,2100,50,1.70844,0.048333518179332235,1.598,1.807,46.471199999999996,1.9227060437342582,41.9,51.52
BSP,60x60,3600,50,3.1343599999999996,0.10017469638545641,2.951,3.322,51.6496,2.6671837627898447,45.94,56.08
BSP,100x100,10000,50,9.02172,0.1842248005640314,8.494,9.327,54.489200000000004,1.4048732094726122,51.04,56.95
BSP,150x150,22500,50,20.5368,0.28464958766016457,19.728,21.045,55.2954,0.9411460881200514,53.44,57.95
Cellular,20x50,1000,50,7.1086800000000006,0.1311057277037686,6.845,7.39,52.31399999999999,6.085010354995968,41.0,66.7
Cellular,70x30,2100,50,15.55316,0.16480914874546285,15.071,15.904,60.364799999999995,4.479428826563148,48.0,69.67
Cellular,60x60,3600,50,27.39662,0.3104516058773661,26.519,27.974,64.6934,3.7238807988550913,54.72,70.0
Cellular,100x100,10000,50,78.58178,0.5229194065190995,77.598,80.075,70.0364,1.8639422343681251,65.77,74.56
Cellular,150x150,22500,50,178.77276,0.8224861157565208,176.675,180.494,72.5,1.4333520011440568,69.79,75.08
Drunkards,20x50,1000,50,2.7491000000000003,1.027735975187148,1.524,6.723,50.052,0.0952761828601888,50.0,50.4
Drunkards,70x30,2100,50,5.61244,1.5029119240423143,3.546,9.454,50.0228,0.03307628782566935,50.0,50.14
Drunkards,60x60,3600,50,8.49966,2.3147689143711028,5.577,16.472,50.013400000000004,0.025683314682128425,50.0,50.14
Drunkards,100x100,10000,50,24.40034,5.184740363522831,17.973,41.449,50.007600000000004,0.01254542765720014,50.0,50.05
Drunkards,150x150,22500,50,57.081,10.131171274228615,39.183,86.129,50.001400000000004,0.005349041493385245,50.0,50.03
Maze,20x50,1000,50,0.9632599999999999,0.016745160738651198,0.931,0.997,57.4,0.0,57.4,57.4
Maze,70x30,2100,50,1.9561000000000002,0.031680322869927606,1.882,2.013,56.48,0.0,56.48,56.48
Maze,60x60,3600,50,3.5639,0.07250369448714813,3.353,3.691,60.11,0.0,60.11,60.11
Maze,100x100,10000,50,10.14452,0.1320535203805561,9.806,10.326,61.42,0.0,61.42,61.42
Maze,150x150,22500,50,23.61398,0.18283107961577363,23.135,23.896,64.02,0.0,64.02,64.02
Rooms,20x50,1000,50,0.88304,0.12618676795989053,0.612,1.125,40.768,6.7737621054495625,25.9,55.0
Rooms,70x30,2100,50,1.42028,0.16984615367551706,1.067,1.978,30.823,4.4250720044873795,22.33,45.71
Rooms,60x60,3600,50,5.471699999999999,1.8504950716508493,3.436,10.079,37.3304,3.5626027862006864,29.89,45.42
Rooms,100x100,10000,50,9.80246,0.793323394695649,8.492,12.377,44.218199999999996,2.358591494247085,39.15,50.57
Rooms,150x150,22500,50,25.89624,0.8574135420208947,24.104,27.885,52.965,1.85236225354744,49.08,57.93
